FY,Debt Held by the Public,TotalSpending,TotalRevenues,SocialSecurity,MajorHealthCarePrograms,OtherNoninterestSpending,NetInterest,IndividualIncomeTaxes,PayrollTaxes,CorporateIncomeTaxes,OtherRevenueSources,Deficit
2000,34,17.6,20,4,3.1,8.3,2.2,9.9,6.4,2,1.6,2.4
2001,31,17.6,18.8,4.1,3.3,8.3,2,9.4,6.6,1.4,1.4,1.2
2002,33,18.5,17,4.2,3.5,9.3,1.6,7.9,6.4,1.4,1.3,-1.5
2003,35,19.1,15.7,4.2,3.6,9.9,1.4,7,6.3,1.2,1.3,-3.4
2004,36,19,15.6,4.1,3.7,9.9,1.3,6.7,6.1,1.6,1.2,-3.4
2005,36,19.2,16.7,4,3.7,10,1.4,7.2,6.2,2.2,1.2,-2.5
2006,35,19.4,17.6,4,3.7,10,1.7,7.6,6.1,2.6,1.3,-1.8
2007,35,19.1,17.9,4.1,4,9.4,1.7,8.1,6.1,2.6,1.1,-1.2
2008,39,20.2,17.1,4.1,4,10.3,1.7,7.8,6.1,2.1,1.2,-3.1
2009,52,24.4,14.6,4.7,4.7,13.7,1.3,6.3,6.2,1,1.1,-9.8
2010,61,23.4,14.6,4.7,4.9,12.4,1.3,6.1,5.8,1.3,1.4,-8.8
2011,66,23.4,15,4.7,5,12.3,1.5,7.1,5.3,1.2,1.4,-8.4
2012,70,22.1,15.3,4.8,4.5,11.4,1.4,7.1,5.3,1.5,1.4,-6.8
2013,73,20.9,16.8,4.9,4.7,10.1,1.3,8,5.7,1.7,1.4,-4.1
2014,74,20.4,17.6,4.9,4.8,9.3,1.3,8.1,6,1.9,1.6,-2.8
2015,74,20.7,18.2,5,5.3,9.2,1.3,8.7,6,1.9,1.7,-2.5
2016,75,21.1,18.2,4.9,5.5,9.2,1.4,8.8,5.9,1.8,1.7,-2.9
2017,76,21,18.2,4.9,5.5,9,1.6,9,5.9,1.8,1.4,-2.8
2018,75,20.8,18.1,5,5.4,8.6,1.8,9.1,5.9,1.8,1.3,-2.7
2019,76,21.4,18,5.1,5.6,8.6,2.1,9.2,5.8,1.8,1.3,-3.4
2020,77,21.8,18.1,5.2,5.8,8.5,2.3,9.2,5.8,1.8,1.2,-3.7
2021,78,22,18.1,5.3,5.9,8.3,2.5,9.3,5.8,1.8,1.2,-3.9
2022,80,22.5,18.1,5.4,6.2,8.2,2.6,9.3,5.8,1.7,1.2,-4.4
2023,81,22.5,18.1,5.6,6.2,8,2.7,9.4,5.8,1.7,1.2,-4.4
2024,82,22.4,18.1,5.7,6.1,7.8,2.9,9.5,5.8,1.6,1.2,-4.3
2025,84,22.8,18.2,5.8,6.4,7.7,2.9,9.5,5.8,1.6,1.2,-4.6
2026,86,23.1,18.2,5.9,6.5,7.7,3,9.6,5.8,1.6,1.2,-4.9
2027,88,23.4,18.2,5.9,6.7,7.6,3.1,9.7,5.7,1.6,1.2,-5.2
2028,90,23.7,18.3,6,6.8,7.6,3.2,9.7,5.7,1.6,1.2,-5.4
2029,92,24,18.4,6.1,6.9,7.6,3.3,9.8,5.7,1.6,1.2,-5.6
2030,94,24.3,18.4,6.2,7.1,7.6,3.5,9.8,5.8,1.6,1.2,-5.9
2031,97,24.6,18.5,6.2,7.2,7.6,3.6,9.9,5.8,1.6,1.3,-6.1
2032,99,24.8,18.5,6.3,7.4,7.5,3.7,9.9,5.8,1.6,1.3,-6.3
2033,102,25.1,18.6,6.3,7.5,7.5,3.8,10,5.8,1.6,1.3,-6.5
2034,105,25.4,18.7,6.3,7.6,7.5,3.9,10,5.8,1.6,1.3,-6.7
2035,107,25.6,18.7,6.3,7.7,7.5,4.1,10.1,5.8,1.6,1.3,-6.9
2036,110,25.9,18.8,6.4,7.8,7.5,4.2,10.1,5.8,1.6,1.3,-7.1
2037,113,26.2,18.9,6.4,8,7.5,4.4,10.1,5.8,1.6,1.3,-7.3
2038,116,26.4,18.9,6.3,8.1,7.4,4.5,10.2,5.8,1.6,1.4,-7.5
2039,119,26.6,19,6.4,8.2,7.4,4.7,10.2,5.8,1.6,1.4,-7.6
2040,122,26.9,19,6.4,8.3,7.4,4.8,10.3,5.8,1.6,1.4,-7.9
2041,125,27.1,19.1,6.3,8.4,7.4,5,10.3,5.8,1.6,1.4,-8
2042,129,27.3,19.2,6.3,8.5,7.4,5.1,10.3,5.8,1.6,1.4,-8.1
2043,132,27.6,19.2,6.3,8.6,7.4,5.3,10.4,5.8,1.6,1.5,-8.4
2044,135,27.8,19.3,6.3,8.7,7.4,5.5,10.4,5.8,1.6,1.5,-8.5
2045,138,28,19.3,6.3,8.8,7.3,5.6,10.5,5.8,1.6,1.5,-8.7
2046,141,28.2,19.4,6.3,8.9,7.3,5.8,10.5,5.8,1.6,1.5,-8.8
