fiscalYear,gdp,category,barTotal
1966,16.7,Revenues,0.16732
1967,17.8,Revenues,0.17755
1968,17,Revenues,0.1701
1969,19,Revenues,0.19025
1970,18.4,Revenues,0.18379
1971,16.7,Revenues,0.16719
1972,17,Revenues,0.17
1973,17.02,Revenues,0.1702
1974,17.7,Revenues,0.17711
1975,17.3,Revenues,0.17328
1976,16.6,Revenues,0.16649
1977,17.5,Revenues,0.17529
1978,17.5,Revenues,0.17538
1979,18,Revenues,0.18027
1980,18.5,Revenues,0.1849
1981,19.1,Revenues,0.19095
1982,18.6,Revenues,0.18642
1983,17,Revenues,0.1696
1984,16.9,Revenues,0.1686
1985,17.2,Revenues,0.17189
1986,17,Revenues,0.16956
1987,17.9,Revenues,0.17865
1988,17.6,Revenues,0.17638
1989,17.8,Revenues,0.17794
1990,17.4,Revenues,0.17448
1991,17.3,Revenues,0.17266
1992,17,Revenues,0.16958
1993,17,Revenues,0.16988
1994,17.5,Revenues,0.17485
1995,17.8,Revenues,0.17826
1996,18.2,Revenues,0.18213
1997,18.6,Revenues,0.18616
1998,19.2,Revenues,0.19227
1999,19.2,Revenues,0.19215
2000,20,Revenues,0.19956
2001,18.8,Revenues,0.18847
2002,17,Revenues,0.17037
2003,15.7,Revenues,0.15728
2004,15.6,Revenues,0.15553
2005,16.7,Revenues,0.16709
2006,17.6,Revenues,0.17588
2007,17.9,Revenues,0.17929
2008,17.1,Revenues,0.17109
2009,14.6,Revenues,0.14603
2010,14.6,Revenues,0.14614
2011,15,Revenues,0.14978
2012,15.3,Revenues,0.15286
2013,16.8,Revenues,0.16821
2014,17.6,Revenues,0.17584
2015,18.2,Revenues,0.18248
2016,18.2,Revenues,0.182
2017,18.2,Revenues,0.182
2018,18.1,Revenues,0.181
2019,18,Revenues,0.18
2020,18.1,Revenues,0.181
2021,18.1,Revenues,0.181
2022,18.1,Revenues,0.181
2023,18.1,Revenues,0.181
2024,18.1,Revenues,0.181
2025,18.2,Revenues,0.182
2026,18.2,Revenues,0.182
2027,18.2,Revenues,0.182
2028,18.3,Revenues,0.183
2029,18.4,Revenues,0.184
2030,18.4,Revenues,0.184
2031,18.5,Revenues,0.185
2032,18.5,Revenues,0.185
2033,18.6,Revenues,0.186
2034,18.7,Revenues,0.187
2035,18.7,Revenues,0.187
2036,18.8,Revenues,0.188
2037,18.9,Revenues,0.189
2038,18.9,Revenues,0.189
2039,19,Revenues,0.19
2040,19,Revenues,0.19
2041,19.1,Revenues,0.191
2042,19.2,Revenues,0.192
2043,19.2,Revenues,0.192
2044,19.3,Revenues,0.193
2045,19.3,Revenues,0.193
2046,19.4,Revenues,0.194
1966,17.2,Spending,0.17205
